tCodigoPedido;tItem;tItemCombo;tProducto;tProductoCombo;nCantidad;tCodigoGrupo;tCodigoSubGrupo;nPrecioNeto;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;nInsumo;nGasto;nManoObra;lImprimeArea;lImprime;nOrden;tObservacion;lCorte;lAtendidoC;fAtendidoC;tUsuarioAtendio
2500055172;1;2;1980;2424;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055172;1;1;1980;2418;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055131;1;2;1980;2424;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055131;1;1;1980;2418;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055121;1;2;2695;2157;1;17;1704;7,674418605;1,381395349;0,844186047;0;9,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055121;1;1;2695;2178;1;14;1412;23,17829457;4,172093023;2,549612403;0;29,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055089;1;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055089;1;1;1898;180;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055059;2;2;1898;215;1;6;601;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055059;2;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055059;1;2;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;HIERBA LUISA;NULL;NULL;NULL;NULL
2500055059;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
