tDocumento;tItem;tCodigoPedido;tCodigoProducto;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nPrecioOficial;nRecargo;nDescuento;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tGuia;nDescuentoNeto;nLey1;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
X00100000000001;3;1900150240;510;6,25;1,125;0,625;0;8;8;0;0;1;1,125;0,625;0;8;NULL;NULL;NULL;NULL;NULL;NULL
X00100000000001;2;1900150240;204;6,25;1,125;0,625;0;8;8;0;0;1;1,125;0,625;0;8;NULL;NULL;NULL;NULL;NULL;NULL
X00100000000001;1;1900150240;366;6,25;1,125;0,625;0;8;8;0;0;1;1,125;0,625;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000255;1;1800022420;211;5,737704918;1,032786885;0,229508197;0;7;7;0;0;1;1,032786885;0,229508197;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000254;1;1800022396;148;3,68852459;0,663934426;0,147540984;0;4,5;6;0;1,5;1;0,663934426;0,147540984;0;4,5;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000253;1;1800022396;148;4,918032787;0,885245902;0,196721311;0;6;6;0;0;1;0,885245902;0,196721311;0;6;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000252;3;1800022421;198;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000252;2;1800022421;208;5,737704918;1,032786885;0,229508197;0;7;7;0;0;1;1,032786885;0,229508197;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000252;1;1800022421;233;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000251;1;1800022431;145;3,278688525;0,590163934;0,131147541;0;4;4;0;0;1;0,590163934;0,131147541;0;4;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000250;6;1800022413;103;5,737704918;1,032786885;0,229508197;0;7;7;0;0;1;1,032786885;0,229508197;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000250;5;1800022413;210;6,557377049;1,180327869;0,262295082;0;8;8;0;0;1;1,180327869;0,262295082;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000250;4;1800022413;324;12,29508197;2,213114754;0,491803279;0;15;15;0;0;1;2,213114754;0,491803279;0;15;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000250;3;1800022413;93;11,47540984;2,06557377;0,459016393;0;14;14;0;0;1;2,06557377;0,459016393;0;14;NULL;NULL;NULL;NULL;NULL;NULL
