tNotaCredito;tItem;tDocumento;tCodigoProducto;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nPrecioOficial;nRecargo;nDescuento;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tGuia;nDescuentoNeto;nLey1;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
D00A12000000007;4;B00A12000003977;213;6,976744186;1,255813953;0,76744186;0;9;9;0;0;1;1,255813953;0,76744186;0;9;NULL;NULL;0;0;0;
D00A12000000007;3;B00A12000003977;2527;6,976744186;1,255813953;0,76744186;0;9;9;0;0;1;1,255813953;0,76744186;0;9;NULL;NULL;0;0;0;
D00A12000000007;2;B00A12000003977;397;13,10077519;2,358139535;1,441085271;0;16,9;16,9;0;0;1;2,358139535;1,441085271;0;16,9;NULL;NULL;0;0;0;
D00A12000000007;1;B00A12000003977;370;13,10077519;2,358139535;1,441085271;0;16,9;16,9;0;0;1;2,358139535;1,441085271;0;16,9;NULL;NULL;0;0;0;
D00A12000000006;3;B00A12000003758;1803;9,302325581;1,674418605;1,023255814;0;12;12;0;0;1;1,674418605;1,023255814;0;12;NULL;NULL;0;0;0;
D00A12000000006;2;B00A12000003758;1731;8,527131783;1,534883721;0,937984496;0;11;11;0;0;1;1,534883721;0,937984496;0;11;NULL;NULL;0;0;0;
D00A12000000006;1;B00A12000003758;231;9,302325581;1,674418605;1,023255814;0;12;12;0;0;1;1,674418605;1,023255814;0;12;NULL;NULL;0;0;0;
D00A12000000005;1;B00A12000003506;2379;7,751937984;1,395348837;0,852713178;0;10;10;0;0;2;2,790697674;1,705426357;0;20;NULL;NULL;0;0;0;
D00A12000000004;8;B00A12000002760;232;13,10077519;2,358139535;1,441085271;0;16,9;16,9;0;0;1;2,358139535;1,441085271;0;16,9;NULL;NULL;0;0;0;
D00A12000000004;7;B00A12000002760;452;6,201550388;1,11627907;0,682170543;0;8;8;0;0;1;1,11627907;0,682170543;0;8;NULL;NULL;0;0;0;
D00A12000000004;6;B00A12000002760;148;6,976744186;1,255813953;0,76744186;0;9;9;0;0;2;2,511627907;1,534883721;0;18;NULL;NULL;0;0;0;
D00A12000000004;5;B00A12000002760;201;13,10077519;2,358139535;1,441085271;0;16,9;16,9;0;0;3;7,074418605;4,323255814;0;50,7;NULL;NULL;0;0;0;
D00A12000000004;4;B00A12000002760;198;13,10077519;2,358139535;1,441085271;0;16,9;16,9;0;0;1;2,358139535;1,441085271;0;16,9;NULL;NULL;0;0;0;
