tDocumento;tCorrelativo;tTurno;tTipoPago;tOtroTipoPago;tMoneda;nTipoCambio;nMonto;nPropina;tTarjeta;tReferencia;tBanco;tNumero;tFechaVencimiento;tUsuario;fRegistro;nDolar;lReplica;fDiaContable;tNumeroATarjeta;tForma;tCodigoIntegracion
X00100000000001;1;1900000923;1;NULL;1;3,25;24;NULL;NULL;NULL;NULL;NULL;NULL;MPASTRAN;26/11/2019 18:46;NULL;NULL;26/11/2019 0:00;NULL;NULL;NULL
T00014000000255;1;1800000004;1;NULL;1;3,1;7;NULL;NULL;NULL;NULL;NULL;NULL;YSALVADOR;18/04/2018 18:47;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000254;1;1800000004;1;NULL;1;3,1;4,5;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 18:07;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000252;1;1800000004;1;NULL;1;3,1;29;NULL;NULL;NULL;NULL;NULL;NULL;YSALVADOR;18/04/2018 18:04;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000251;1;1800000004;2;NULL;1;3,1;4;0;5;;NULL;2476;;YSALVADOR;18/04/2018 17:58;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000250;2;1800000004;2;NULL;1;3,1;33;0;5;;NULL;33;;YSALVADOR;18/04/2018 17:49;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000250;1;1800000004;2;NULL;1;3,1;33;0;1;;NULL;4015;;YSALVADOR;18/04/2018 17:49;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000249;1;1800000004;1;NULL;1;3,1;74;NULL;NULL;NULL;NULL;NULL;NULL;YSALVADOR;18/04/2018 17:44;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000248;1;1800000004;1;NULL;1;3,1;14;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:30;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000247;1;1800000004;2;NULL;1;3,1;38;0;5;;NULL;9689;;MORBEGOSO;18/04/2018 17:28;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000246;1;1800000004;2;NULL;1;3,1;4,5;0;2;;NULL;2126;;MORBEGOSO;18/04/2018 17:28;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000245;1;1800000004;1;NULL;1;3,1;4;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:27;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000244;1;1800000004;2;NULL;1;3,1;12;0;5;;NULL;8317;;MORBEGOSO;18/04/2018 17:26;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000243;1;1800000004;2;NULL;1;3,1;30;0;5;;NULL;8950;;MORBEGOSO;18/04/2018 17:25;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000242;1;1800000004;1;NULL;1;3,1;24;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:24;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000241;1;1800000004;1;NULL;1;3,1;12;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:21;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000240;1;1800000004;1;NULL;1;3,1;19;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:19;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000239;1;1800000004;2;NULL;1;3,1;19;0;5;;NULL;8977;;MORBEGOSO;18/04/2018 17:18;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000238;1;1800000004;2;NULL;1;3,1;45;4;1;;NULL;9051;;MORBEGOSO;18/04/2018 17:29;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000237;1;1800000004;2;NULL;1;3,1;38;0;1;;NULL;9553;;MORBEGOSO;18/04/2018 17:18;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000236;2;1800000004;2;NULL;1;3,1;7;0;5;;NULL;2927;;MORBEGOSO;18/04/2018 17:16;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000236;1;1800000004;1;NULL;1;3,1;7;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:16;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000235;1;1800000004;2;NULL;1;3,1;30;0;5;;NULL;238;;MORBEGOSO;18/04/2018 17:10;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000234;1;1800000004;2;NULL;1;3,1;50;0;1;;NULL;5692;;MORBEGOSO;18/04/2018 17:09;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000233;1;1800000004;2;NULL;1;3,1;7;0;5;;NULL;5740;;MORBEGOSO;18/04/2018 17:07;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000232;1;1800000004;2;NULL;1;3,1;8;0;2;;NULL;2285;;MORBEGOSO;18/04/2018 17:06;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000231;1;1800000004;1;NULL;1;3,1;12;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:06;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000230;1;1800000004;1;NULL;1;3,1;75;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 17:05;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000229;1;1800000004;1;NULL;1;3,1;25;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 16:59;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000228;1;1800000004;1;NULL;1;3,1;14;NULL;NULL;NULL;NULL;NULL;NULL;MORBEGOSO;18/04/2018 16:59;NULL;NULL;18/04/2018 0:00;NULL;NULL;NULL
T00014000000227;1;1800000004;2;NULL;1;3,1;10;0;5;;NULL;6011;;MORBEGOSO;18/04/2018 16:58;NULL;NULL;18/04/2018 0:00;;NULL;NULL
T00014000000226;1;1700000054;2;NULL;1;3,24;16;0;1;;NULL;4324;;RCASTILLO;29/08/2017 14:52;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000225;1;1700000054;2;NULL;1;3,24;50;0;1;;NULL;355;;RCASTILLO;29/08/2017 14:50;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000224;1;1700000054;2;NULL;1;3,24;13;0;1;;NULL;1383;;RCASTILLO;29/08/2017 14:50;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000223;1;1700000054;2;NULL;1;3,24;24,4;0;1;;NULL;236;;RCASTILLO;29/08/2017 14:48;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000222;1;1700000054;2;NULL;1;3,24;70;0;1;;NULL;4011;;RCASTILLO;29/08/2017 14:48;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000221;1;1700000054;2;NULL;1;3,24;25;0;1;;NULL;2025;;RCASTILLO;29/08/2017 14:38;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000220;1;1700000054;1;NULL;1;3,24;10;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:36;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000219;1;1700000054;2;NULL;1;3,24;21;2;1;;NULL;6013;;RCASTILLO;29/08/2017 14:25;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000218;1;1700000054;1;NULL;1;3,24;5;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:21;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000217;1;1700000054;1;NULL;1;3,24;33;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:17;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000216;1;1700000054;1;NULL;1;3,24;12;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:14;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000215;1;1700000054;1;NULL;1;3,24;12;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:14;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000214;1;1700000054;2;NULL;1;3,24;7;0;1;;NULL;6998;;RCASTILLO;29/08/2017 14:14;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000213;1;1700000054;2;NULL;1;3,24;16;0;2;;NULL;8957;;RCASTILLO;29/08/2017 14:13;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000212;1;1700000054;1;NULL;1;3,24;9;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:09;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000211;1;1700000054;2;NULL;1;3,24;33;0;1;;NULL;7559;;RCASTILLO;29/08/2017 14:08;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000210;1;1700000054;2;NULL;1;3,24;14;0;1;;NULL;7024;;RCASTILLO;29/08/2017 14:06;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000209;1;1700000054;1;NULL;1;3,24;12;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:05;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000208;1;1700000054;1;NULL;1;3,24;15;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 14:01;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000207;1;1700000054;2;NULL;1;3,24;35,8;0;1;;NULL;5797;;RCASTILLO;29/08/2017 13:56;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000206;1;1700000054;2;NULL;1;3,24;17;0;1;;NULL;0;;RCASTILLO;29/08/2017 13:55;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000205;1;1700000054;1;NULL;1;3,24;10;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 13:54;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000204;1;1700000054;1;NULL;1;3,24;20;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 13:53;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000203;1;1700000054;2;NULL;1;3,24;43;0;1;;NULL;3752;;RCASTILLO;29/08/2017 13:51;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000202;1;1700000054;2;NULL;1;3,24;26;0;2;;NULL;2596;;RCASTILLO;29/08/2017 13:48;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000201;1;1700000054;1;NULL;2;3,24;4,938271605;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 13:42;20;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000200;1;1700000054;2;NULL;1;3,24;115;0;1;;NULL;4948;;RCASTILLO;29/08/2017 13:23;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000199;1;1700000054;2;NULL;1;3,24;16;0;1;;NULL;256;;RCASTILLO;29/08/2017 13:21;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000198;2;1700000054;2;NULL;1;3,24;7;0;1;;NULL;6014;;RCASTILLO;29/08/2017 13:06;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000198;1;1700000054;1;NULL;1;3,24;7;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 13:06;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000197;1;1700000054;2;NULL;1;3,24;12;0;1;;NULL;175;;RCASTILLO;29/08/2017 12:53;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000196;1;1700000054;1;NULL;1;3,24;5;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 12:49;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000195;1;1700000054;2;NULL;1;3,24;28;0;1;;NULL;9643;;RCASTILLO;29/08/2017 12:47;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000194;1;1700000054;2;NULL;1;3,24;34;0;1;;NULL;468;;RCASTILLO;29/08/2017 12:37;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000193;1;1700000054;2;NULL;1;3,24;18;0;1;;NULL;6245;;RCASTILLO;29/08/2017 12:23;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000192;1;1700000054;2;NULL;1;3,24;4;0;2;;NULL;6510;;RCASTILLO;29/08/2017 12:14;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000191;1;1700000054;1;NULL;1;3,24;25;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 12:08;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000190;1;1700000054;1;NULL;1;3,24;9;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 11:53;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000189;1;1700000054;2;NULL;1;3,24;25;0;1;;NULL;61;;RCASTILLO;29/08/2017 11:52;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000188;1;1700000054;2;NULL;1;3,24;65;0;1;;NULL;4999;;RCASTILLO;29/08/2017 11:44;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000187;1;1700000054;1;NULL;1;3,24;18;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 11:43;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000186;1;1700000054;1;NULL;1;3,24;32;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 11:31;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000185;1;1700000054;1;NULL;1;3,24;12;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 11:30;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000184;1;1700000054;1;NULL;1;3,24;11;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 11:18;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000183;1;1700000054;1;NULL;1;3,24;9;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 11:17;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000182;1;1700000054;1;NULL;1;3,24;5,25;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 10:52;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000181;2;1700000054;2;NULL;1;3,24;17;0;1;;NULL;2027;;RCASTILLO;29/08/2017 10:49;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000181;1;1700000054;2;NULL;1;3,24;22;0;1;;NULL;4848;;RCASTILLO;29/08/2017 10:49;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000180;1;1700000054;1;NULL;1;3,24;4,5;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 10:47;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000179;1;1700000054;1;NULL;1;3,24;26;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 10:18;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000178;1;1700000054;1;NULL;1;3,24;8;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 10:17;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000177;1;1700000054;2;NULL;1;3,24;8;0;1;;NULL;6852;;RCASTILLO;29/08/2017 10:14;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000176;1;1700000054;2;NULL;1;3,24;16;0;1;;NULL;6852;;RCASTILLO;29/08/2017 10:11;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000175;1;1700000054;1;NULL;1;3,24;17;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;29/08/2017 9:54;NULL;NULL;29/08/2017 0:00;NULL;NULL;NULL
T00014000000174;2;1700000054;2;NULL;1;3,24;33;0;1;;NULL;3805;;RCASTILLO;29/08/2017 9:50;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000174;1;1700000054;2;NULL;1;3,24;4;0;1;;NULL;2808;;RCASTILLO;29/08/2017 9:50;NULL;NULL;29/08/2017 0:00;;NULL;NULL
T00014000000173;1;1700000052;1;NULL;1;3,24;12;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 20:15;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000172;1;1700000052;1;NULL;1;3,24;80;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 20:12;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000171;1;1700000052;2;NULL;1;3,24;24;0;1;;NULL;6116;;RCASTILLO;27/08/2017 19:59;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000170;1;1700000052;2;NULL;1;3,24;15;0;1;;NULL;8815;;RCASTILLO;27/08/2017 19:52;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000169;1;1700000052;1;NULL;1;3,24;12;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 19:46;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000168;1;1700000052;2;NULL;1;3,24;34;0;1;;NULL;5301;;RCASTILLO;27/08/2017 19:27;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000167;1;1700000052;2;NULL;1;3,24;38;0;1;;NULL;4650;;RCASTILLO;27/08/2017 19:25;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000166;1;1700000052;1;NULL;1;3,24;38;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 19:22;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000165;1;1700000052;1;NULL;1;3,24;34;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 19:20;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000164;1;1700000052;2;NULL;1;3,24;62;0;1;;NULL;1287;;RCASTILLO;27/08/2017 19:16;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000163;1;1700000052;2;NULL;1;3,24;12;0;1;;NULL;6907;;RCASTILLO;27/08/2017 19:13;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000162;1;1700000052;2;NULL;1;3,24;12;0;1;;NULL;7167;;RCASTILLO;27/08/2017 19:12;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000161;1;1700000052;2;NULL;1;3,24;34;0;1;;NULL;9538;;RCASTILLO;27/08/2017 19:09;NULL;NULL;27/08/2017 0:00;;NULL;NULL
