tCodigoPedido;tItem;tTipoPedido;tCodigoProducto;tCodigoGrupo;tCodigoSubGrupo;tMoneda;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nRecargo;nDescuento;nPrecioOficial;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tObservacion;tCortesia;lImprime;tEstadoItem;tArea;lCombinacion;nCombinacion;lImprimeArea;tFacturado;tDocumento;lTransferido;tComanda;fregistro;tmozod;tusuariod;nInsumo;nGasto;nManoObra;nOrden;lCorte;tPosicion;fEnvio;nEnvio;tUnidadNegocio;tOferta;tAutorizaOferta;tSubalmacen;lRegistroVenta;fDiaContable;lAtendidoC;fAtendidoC;tUsuarioAtendio;lCantadoC;fCantadoC;lTipoEnvio;tGuiaTransporte;tCodigoEtiqueta;tCajaD;lNoCantado;tUsuarioAutorizaEnvio;tPerfilUsuarioAutoriza;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
2500055211;1;3;1722;17;1702;NULL;7,751937984;1,395348837;0,852713178;0;10;0;0;10;2;2,790697674;1,705426357;0;20;NULL;NULL;0;N;2;0;0;1;NULL;NULL;NULL;;14/07/2025 21:42;0;MSOSA;0;0;0;1;NULL;NULL;NULL;NULL;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11;NULL;NULL;NULL;0;0;NULL
2500055210;1;4;365;17;1701;;27,13178295;4,88372093;2,984496124;0;35;0;0;35;1;4,88372093;2,984496124;0;35;;;1;N;2;0;0;1;P;B00130000059585;0;;14/07/2025 21:36;;WSInforest;0;0;0;0;0;;2025-07-14 21:36:20.270;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055209;1;4;468;4;416;;24,80620155;4,465116279;2,728682171;0;32;0;0;32;1;4,465116279;2,728682171;0;32;;;1;N;5;0;0;1;P;B00130000059584;0;;14/07/2025 21:35;;WSInforest;0;0;0;0;0;;2025-07-14 21:34:38.100;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055208;1;4;2148;14;1405;;23,17829457;4,172093023;2,549612403;0;29,9;0;0;29,9;1;4,172093023;2,549612403;0;29,9;;;1;N;6;0;0;1;P;B00130000059583;0;;14/07/2025 21:33;;WSInforest;0;0;0;0;0;;2025-07-14 21:32:35.180;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055207;6;1;208;6;610;NULL;7,751937984;1,395348837;0,852713178;0;10;0;0;10;1;1,395348837;0,852713178;0;10;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 21:31;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:30:53.570;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:30:53.563;0;NULL;NULL;15;0;;;0;0;NULL
2500055207;5;1;262;14;1410;NULL;20,15503876;3,627906977;2,217054264;0;26;0;0;26;1;3,627906977;2,217054264;0;26;NULL;NULL;1;N;1;0;0;1;NULL;NULL;NULL;;14/07/2025 21:31;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:30:53.570;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:30:53.563;0;NULL;NULL;15;0;;;0;0;NULL
2500055207;4;1;1803;6;605;NULL;9,302325581;1,674418605;1,023255814;0;12;0;0;12;1;1,674418605;1,023255814;0;12;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 21:31;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:30:53.570;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:30:53.563;0;NULL;NULL;15;0;;;0;0;NULL
2500055207;3;1;2288;14;1410;NULL;20,15503876;3,627906977;2,217054264;0;26;0;0;26;1;3,627906977;2,217054264;0;26;NULL;NULL;1;N;1;0;0;1;NULL;NULL;NULL;;14/07/2025 21:31;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:30:53.570;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:30:53.563;0;NULL;NULL;15;0;;;0;0;NULL
2500055207;2;1;93;17;1702;NULL;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;1;2,358139535;1,441085271;0;16,9;NULL;NULL;1;N;5;0;0;1;NULL;NULL;NULL;;14/07/2025 21:31;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:30:53.570;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:30:53.563;0;NULL;NULL;15;0;;;0;0;NULL
2500055207;1;1;2527;6;610;NULL;6,976744186;1,255813953;0,76744186;0;9;0;0;9;1;1,255813953;0,76744186;0;9;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 21:30;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:30:53.570;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:30:53.563;0;NULL;NULL;15;0;;;0;0;NULL
