tDocumento;tCorrelativo;tTurno;tTipoPago;tOtroTipoPago;tMoneda;nTipoCambio;nMonto;nVuelto;nPropina;tTarjeta;tReferencia;tBanco;tNumero;tFechaVencimiento;tObservacion;tUsuario;fRegistro;fDiaContable;tCodigoPedido
B00130000032289;1;2400000821;3;NULL;1;4;6;0;NULL;NULL;NULL;BCP;2586828;NULL;;JNIÑO;25/10/2024 16:15;25/10/2024 0:00;NULL
B00130000021919;1;2400000552;3;NULL;1;4;6;0;NULL;NULL;NULL;INTERBANK;3784318;NULL;;JNIÑO;15/07/2024 18:53;15/07/2024 0:00;NULL
B00130000002185;1;2300000672;2;NULL;1;3,8;55;0;0;17;;NULL;;;;JNIÑO;29/09/2023 14:30;29/09/2023 0:00;NULL
B00120000092011;1;2200000658;3;NULL;1;3,5;88,11;0;NULL;NULL;NULL;BCP;48861;NULL;;JNIÑO;24/11/2022 10:38;24/11/2022 0:00;NULL
B00100000269053;1;2100000617;2;NULL;1;3,5;194;0;0;6;;NULL;33000168;;;MMALPARTIDA;03/11/2021 11:21;03/11/2021 0:00;NULL
2500055210;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218357483;;NULL;WSInforest;14/07/2025 21:36;14/07/2025 21:36;2500055210
2500055209;1;;2;NULL;1;4;32;NULL;0;9;WS;NULL;1629025349;;NULL;WSInforest;14/07/2025 21:35;14/07/2025 21:35;2500055209
2500055208;1;;2;NULL;1;4;29,9;NULL;0;9;WS;NULL;1629061190;;NULL;WSInforest;14/07/2025 21:33;14/07/2025 21:33;2500055208
2500055206;1;;2;NULL;1;4;21,9;NULL;0;7;WS;NULL;2218356571;;NULL;WSInforest;14/07/2025 21:29;14/07/2025 21:29;2500055206
2500055204;1;;2;NULL;1;4;29,9;NULL;0;7;WS;NULL;2218356300;;NULL;WSInforest;14/07/2025 21:26;14/07/2025 21:26;2500055204
2500055203;1;;2;NULL;1;4;45,8;NULL;0;7;WS;NULL;2218356021;;NULL;WSInforest;14/07/2025 21:24;14/07/2025 21:24;2500055203
2500055201;1;;2;NULL;1;4;20;NULL;0;7;WS;NULL;2218353390;;NULL;WSInforest;14/07/2025 21:04;14/07/2025 21:04;2500055201
2500055198;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1629020552;;NULL;WSInforest;14/07/2025 20:58;14/07/2025 20:58;2500055198
2500055197;1;;2;NULL;1;4;43,8;NULL;0;7;WS;NULL;2218352144;;NULL;WSInforest;14/07/2025 20:55;14/07/2025 20:55;2500055197
2500055195;1;;2;NULL;1;4;33,8;NULL;0;7;WS;NULL;2218350579;;NULL;WSInforest;14/07/2025 20:44;14/07/2025 20:44;2500055195
2500055194;1;;2;NULL;1;4;49,9;NULL;0;18;WS;NULL;0714-#1;;NULL;WSInforest;14/07/2025 20:39;14/07/2025 20:39;2500055194
2500055193;1;;2;NULL;1;4;35,9;NULL;0;7;WS;NULL;2218349316;;NULL;WSInforest;14/07/2025 20:36;14/07/2025 20:36;2500055193
2500055191;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218348626;;NULL;WSInforest;14/07/2025 20:31;14/07/2025 20:31;2500055191
2500055189;1;;2;NULL;1;4;18,9;NULL;0;7;WS;NULL;2218345875;;NULL;WSInforest;14/07/2025 20:13;14/07/2025 20:13;2500055189
2500055188;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218345664;;NULL;WSInforest;14/07/2025 20:11;14/07/2025 20:11;2500055188
2500055187;1;;2;NULL;1;4;29,9;NULL;0;9;WS;NULL;1628896777;;NULL;WSInforest;14/07/2025 20:10;14/07/2025 20:10;2500055187
2500055186;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218344040;;NULL;WSInforest;14/07/2025 20:00;14/07/2025 20:00;2500055186
