tDocumento;tTipoDocumento;tCodigoCliente;tCortesia;nNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nVenta;nRecargo;nDescuento;nPrecioOficial;nPropina;ntotal;nAbono;nVuelto;tCortesiaPago;tEstadoDocumento;tClientePago;tTurno;fPago;tCaja;tUsuario;tUsuarioAutoriza;fRegistro;tUsuarioAnulado;fRegistroAnulado;tObservacion;tSalon;tEmision;tConsumo;lReplica;tAutorizacion;tCodigoControl;tImpresora;tSerieImpresora;fDiaContable;tDescuento;fInicio;fCaducidad;tContribuyenteEspecial;tNumeroAutorizacion;nDescuentoNeto;lEnvioOfisis;lEstadoFacturacion;tRespFacturacion;lImpresionMonedaExtranjera;lImpresionAut;tImprTermica;tReserva;lAnticipo;femision;nLey1;UsuarioReimpresion;nReimpresion;CodigoVisaNet;CodigoMercadoPago;CodigoMercadoPagoEstatico;tordenCompra;tMotivoAnulacion
X00100000000001;10;;;18,75;3,375;1,875;0;24;0;0;0;NULL;NULL;24;0;NULL;2;NULL;1900000923;26/11/2019 18:46;6;MPASTRAN;MPASTRAN;26/11/2019 18:46;NULL;NULL;NULL;1;NULL;;1;;;1;;26/11/2019 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000255;2;;;5,737704918;1,032786885;0,229508197;0;7;0;0;0;NULL;NULL;7;0;NULL;2;NULL;1800000004;18/04/2018 18:47;3;MORBEGOSO;MORBEGOSO;18/04/2018 18:07;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000254;2;;;3,68852459;0,663934426;0,147540984;0;4,5;0;1,5;0;NULL;NULL;4,5;0;NULL;2;NULL;1800000004;18/04/2018 18:07;3;MORBEGOSO;MORBEGOSO;18/04/2018 18:07;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;1;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000253;2;;;4,918032787;0,885245902;0,196721311;0;6;0;0;0;NULL;NULL;6;0;NULL;4;;1800000004;18/04/2018 18:05;3;YSALVADOR;YSALVADOR;18/04/2018 18:05;MORBEGOSO;18/04/2018 18:06;FALTO DESCUENTO;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000252;2;;;23,7704918;4,278688525;0,950819672;0;29;0;0;0;NULL;NULL;50;21;NULL;2;NULL;1800000004;18/04/2018 18:04;3;YSALVADOR;YSALVADOR;18/04/2018 18:03;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000251;2;;;3,278688525;0,590163934;0,131147541;0;4;0;0;0;NULL;NULL;4;0;NULL;2;NULL;1800000004;18/04/2018 17:58;3;YSALVADOR;YSALVADOR;18/04/2018 17:58;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000250;2;;;54,09836066;9,737704918;2,163934426;0;66;0;0;0;NULL;NULL;66;0;NULL;2;NULL;1800000004;18/04/2018 17:49;3;YSALVADOR;YSALVADOR;18/04/2018 17:49;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000249;2;;;60,6557377;10,91803279;2,426229508;0;74;0;0;0;NULL;NULL;100;26;NULL;2;NULL;1800000004;18/04/2018 17:44;3;YSALVADOR;YSALVADOR;18/04/2018 17:44;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000248;2;;;11,47540984;2,06557377;0,459016393;0;14;0;0;0;NULL;NULL;20;6;NULL;2;NULL;1800000004;18/04/2018 17:30;3;MORBEGOSO;MORBEGOSO;18/04/2018 17:29;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;1;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000247;2;;;31,14754098;5,606557377;1,245901639;0;38;0;0;0;NULL;NULL;38;0;NULL;2;NULL;1800000004;18/04/2018 17:28;3;MORBEGOSO;MORBEGOSO;18/04/2018 17:28;NULL;NULL;NULL;1;NULL;;1;;;1;FFCF290120;18/04/2018 0:00;;01/01/1900 0:00;01/01/1900 0:00;0;NULL;NULL;0;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
