tCombo;tCodigoProducto;nCantidad;lFijo;lUnico;tEtiqueta;nAumento;lReplica;lEliminaFijo;nValor;lNuevoModificado
392;181;1;0;1;PLATO;0;NULL;0;8454016;NULL
392;182;1;0;1;PLATO;0;NULL;0;8454016;NULL
392;183;1;0;1;PLATO;0;NULL;0;8454016;NULL
392;186;1;0;1;PLATO;0;NULL;0;8454016;NULL
392;208;1;0;1;CAFE;0;NULL;0;8421631;NULL
392;209;1;0;1;CAFE;0;NULL;0;8421631;NULL
392;210;1;0;1;CAFE;0;NULL;0;8421631;NULL
392;211;1;0;1;CAFE;0;NULL;0;8421631;NULL
392;213;1;0;1;INFUSIONES;0;NULL;0;12615808;NULL
392;215;1;0;1;INFUSIONES;0;NULL;0;12615808;NULL
392;216;1;0;1;INFUSIONES;0;NULL;0;12615808;NULL
392;245;1;0;1;PLATO;0;NULL;0;8454016;NULL
392;304;1;0;1;INFUSIONES;0;NULL;0;12615808;NULL
392;305;1;0;1;PLATO;0;NULL;0;8454016;NULL
393;180;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;188;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;208;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;209;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;210;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;211;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;213;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;215;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;216;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;283;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;284;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;285;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;288;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;304;1;0;1;CAFE INFUSION;0;NULL;0;65408;NULL
393;334;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;335;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;344;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;345;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;356;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;360;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;361;1;0;1;PLATOS;0;NULL;0;65535;NULL
393;362;1;0;1;PLATOS;0;NULL;0;65535;NULL
