tCodigoOrigenVenta;tCodigoCanalVenta;tDescripcion;nBoton;lVisiblePos;lDelivery;lActivo;tCodAPIWEB;lVisualizaDespachador
1;2;DELIVERY MA;1;1;1;1;1;NULL
2;2;EXPRESS MA;3;1;0;1;;NULL
3;3;PICKUP INACTIVO;0;0;0;0;;NULL
4;3;TO GO INACTIVO;0;0;0;0;;NULL
5;4;RAPPI MA;0;1;0;1;;NULL
6;4;PEDIDOS YA MA;0;1;0;1;;NULL
7;4;UBER MA;0;0;0;0;;NULL
8;4;DIDI MA;0;1;0;1;;NULL
9;1;CARTA DIGITAL;0;0;0;0;;NULL
10;4;RAPPITURBO MA;0;1;0;1;;NULL
11;5;DELIVERY MA;10;0;0;0;;0
12;5;PICKUP/TOGO;15;0;0;0;;0
13;1;SALON MA;1;1;0;1;;NULL
14;3;TO GO MA;1;1;0;1;;NULL
15;3;DELIVERY MA;2;1;1;1;;NULL
16;2;PICKUP MA;2;1;0;1;;NULL
17;2;DELIVERY SILVES;4;0;0;1;;NULL
18;2;EXPRESS SILVEST;5;0;0;1;;NULL
19;2;DELIVERY AIMO;7;0;0;1;;NULL
20;2;EXPRESS AIMO;8;0;0;1;;NULL
21;4;RAPPI SILVESTRE;0;1;0;1;;NULL
22;4;PEDIDOS YA SLV;0;1;0;1;;NULL
23;4;RAPPITURBO SLV;0;1;0;1;;NULL
24;1;SALON SILVESTRE;2;1;0;1;;0
25;3;TO GO SLV;4;1;0;1;PATIO;0
26;3;DELIVERY SILV;5;1;0;1;;0
27;3;TOTEM;0;0;0;1;;NULL
28;5;CATERING;4;1;0;1;;0
29;5;DIFERIDA;1;1;0;1;;0
30;5;DIRECTA DELIVER;2;1;0;1;;0
31;5;DIRECTA PICKUP;3;1;0;1;;0
32;2;PICKUP EXPRE MA;9;0;0;1;;0
33;4;RAPPI LD;0;0;0;1;33;0
34;4;PEDIDOS YA LD;0;0;0;1;34;0
35;4;DIDI LD;0;0;0;1;35;0
36;4;RAPPI TURBO LD;0;0;0;1;36;0
37;1;SALON LDELICIAS;3;0;0;0;;0
38;3;TO GO LDELICIAS;3;0;0;0;;0
39;3;DELIVERY LDELIC;6;0;0;0;;0
40;2;DELIVER AIMO LD;10;0;0;1;40;0
41;2;EXPR PICK AI LD;11;1;0;1;41;0
42;2;PROGRAM AIMO LD;12;1;0;1;42;0
43;2;PICKUP PROG SLV;6;0;0;1;43;0
44;2;PICKUP EXP SILV;13;0;0;1;;0
45;4;RAPPI PICKUP MA;0;0;0;1;;0
46;4;PE YA PICKUP MA;0;0;0;1;;0
47;4;DIDI PICKUP MA;0;0;0;1;;0
48;4;RAPPI PICKP SLV;0;0;0;1;;0
49;4;PEYA PICKUP SLV;0;0;0;1;;0
50;4;DIDI PICKUP SLV;0;0;0;1;;0
51;4;RAPPI PICKP AIM;0;0;0;1;;0
52;4;PEYA PICKUP AIM;0;0;0;1;;0
53;4;DIDI PICKUP AIM;0;0;0;1;;0
54;4;RP TRB PCKUP MA;0;0;0;1;54;0
55;4;RP TRB PCKUP SV;0;0;0;1;55;0
56;4;RP TRB PCKUP LD;0;0;0;1;56;0
