nCorrelativo;tPedidoIni;tItemIni;tPedidoFin;tItemFin;tProducto;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tTurno;fRegistro;tUsuario;fDiaContable
49327;2500055190;4;2500055200;5;494;1;3,055813953;1,86744186;0;21,9;NULL;14/07/2025 21:03;MESERO;14/07/2025 0:00
49326;2500055190;3;2500055200;4;1332;1;2,23255814;1,364341085;0;16;NULL;14/07/2025 21:03;MESERO;14/07/2025 0:00
49325;2500055190;2;2500055200;3;213;1;1,255813953;0,76744186;0;9;NULL;14/07/2025 21:03;MESERO;14/07/2025 0:00
49324;2500055190;1;2500055200;2;180;1;3,474418605;2,123255814;0;24,9;NULL;14/07/2025 21:03;MESERO;14/07/2025 0:00
49323;2500055183;1;2500055184;7;1840;1;3,613953488;2,208527132;0;25,9;NULL;14/07/2025 20:29;MESERO;14/07/2025 0:00
49322;2500055183;1;2500055184;4;2141;1;4,869767442;2,975968992;0;34,9;NULL;14/07/2025 19:58;MESERO;14/07/2025 0:00
49321;2500055149;7;2500055171;8;210;1;1,534883721;0,937984496;0;11;NULL;14/07/2025 19:32;MESERO;14/07/2025 0:00
49320;2500055149;2;2500055171;3;1466;1;2,511627907;1,534883721;0;18;NULL;14/07/2025 19:32;MESERO;14/07/2025 0:00
49319;2500055169;13;2500055149;26;208;1;1,395348837;0,852713178;0;10;NULL;14/07/2025 19:31;MESERO;14/07/2025 0:00
49318;2500055169;4;2500055149;12;210;1;1,534883721;0,937984496;0;11;NULL;14/07/2025 19:30;MESERO;14/07/2025 0:00
49317;2500055149;4;2500055169;12;208;2;2,790697674;1,705426357;0;20;NULL;14/07/2025 19:30;MESERO;14/07/2025 0:00
49316;2500055149;6;2500055169;7;376;1;3,627906977;2,217054264;0;26;NULL;14/07/2025 19:29;MESERO;14/07/2025 0:00
49315;2500055149;3;2500055169;4;210;1;1,534883721;0,937984496;0;11;NULL;14/07/2025 19:29;MESERO;14/07/2025 0:00
49314;2500055141;5;2500055163;6;494;1;3,055813953;1,86744186;0;21,9;NULL;14/07/2025 19:14;MESERO;14/07/2025 0:00
49313;2500055141;4;2500055163;5;210;1;1,534883721;0,937984496;0;11;NULL;14/07/2025 19:14;MESERO;14/07/2025 0:00
49312;2500055141;3;2500055163;4;1332;1;2,23255814;1,364341085;0;16;NULL;14/07/2025 19:14;MESERO;14/07/2025 0:00
49311;2500055141;2;2500055163;3;1333;1;2,23255814;1,364341085;0;16;NULL;14/07/2025 19:14;MESERO;14/07/2025 0:00
49310;2500049546;5;2500055130;9;2395;1;1,395348837;0,852713178;0;10;NULL;14/07/2025 19:07;MESERO;14/07/2025 0:00
49309;2500055141;1;2500055143;2;254;1;2,511627907;1,534883721;0;18;NULL;14/07/2025 18:37;MESERO;14/07/2025 0:00
49308;2500054978;1;2500054990;7;2165;1;2,218604651;1,355813953;0;15,9;NULL;14/07/2025 12:41;MESERO;14/07/2025 0:00
49307;2500054895;12;2500054926;13;213;1;1,255813953;0,76744186;0;9;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49306;2500054895;11;2500054926;12;2527;1;1,255813953;0,76744186;0;9;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49305;2500054895;10;2500054926;11;397;1;2,358139535;1,441085271;0;16,9;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49304;2500054895;9;2500054926;10;1803;1;1,674418605;1,023255814;0;12;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49303;2500054895;8;2500054926;9;1521;1;1,255813953;0,76744186;0;9;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49302;2500054895;7;2500054926;8;262;1;3,627906977;2,217054264;0;26;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49301;2500054895;6;2500054926;7;402;1;2,358139535;1,441085271;0;16,9;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49300;2500054895;5;2500054926;6;96;1;2,358139535;1,441085271;0;16,9;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49299;2500054895;4;2500054926;5;100;1;2,358139535;1,441085271;0;16,9;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49298;2500054895;3;2500054926;4;376;1;3,627906977;2,217054264;0;26;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49297;2500054895;2;2500054926;3;360;2;6,139534884;3,751937984;0;44;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49296;2500054895;1;2500054926;2;213;2;2,511627907;1,534883721;0;18;NULL;13/07/2025 20:41;MESERO;13/07/2025 0:00
49295;2500054851;15;2500054885;16;644;1;3,069767442;1,875968992;0;22;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49294;2500054851;14;2500054885;15;1468;1;1,674418605;1,023255814;0;12;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49293;2500054851;13;2500054885;14;1346;2;1,674418605;1,023255814;0;12;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49292;2500054851;12;2500054885;13;103;1;1,395348837;0,852713178;0;10;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49291;2500054851;11;2500054885;12;2643;3;0,837209302;0,511627907;0;6;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49290;2500054851;10;2500054885;11;208;1;1,395348837;0,852713178;0;10;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49289;2500054851;9;2500054885;10;2723;1;2,776744186;1,696899225;0;19,9;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49288;2500054851;8;2500054885;9;208;2;2,790697674;1,705426357;0;20;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49287;2500054851;7;2500054885;8;210;1;1,534883721;0,937984496;0;11;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49286;2500054851;6;2500054885;7;204;1;1,395348837;0,852713178;0;10;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49285;2500054851;5;2500054885;6;488;1;2,358139535;1,441085271;0;16,9;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49284;2500054851;4;2500054885;5;510;1;1,395348837;0,852713178;0;10;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49283;2500054851;3;2500054885;4;208;1;1,395348837;0,852713178;0;10;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49282;2500054851;2;2500054885;3;209;2;2,511627907;1,534883721;0;18;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49281;2500054851;1;2500054885;2;494;1;3,055813953;1,86744186;0;21,9;NULL;13/07/2025 18:47;MESERO;13/07/2025 0:00
49280;2500054807;4;2500054850;6;2080;1;2,790697674;1,705426357;0;20;NULL;13/07/2025 17:54;MESERO;13/07/2025 0:00
49279;2500054807;3;2500054850;5;208;1;1,395348837;0,852713178;0;10;NULL;13/07/2025 17:54;MESERO;13/07/2025 0:00
49278;2500054807;2;2500054850;4;2492;1;2,637209302;1,611627907;0;18,9;NULL;13/07/2025 17:54;MESERO;13/07/2025 0:00
49277;2500054807;1;2500054850;3;495;1;2,23255814;1,364341085;0;16;NULL;13/07/2025 17:54;MESERO;13/07/2025 0:00
49276;2500054807;4;2500054831;5;2133;1;2,497674419;1,526356589;0;17,9;NULL;13/07/2025 17:03;MESERO;13/07/2025 0:00
49275;2500054778;1;2500054787;2;1405;1;4,88372093;2,984496124;0;35;NULL;13/07/2025 15:25;MESERO;13/07/2025 0:00
49274;2500054760;3;2500054785;4;1507;1;1,813953488;1,108527132;0;13;NULL;13/07/2025 15:24;MESERO;13/07/2025 0:00
49273;2500054720;10;2500054744;11;2641;1;0,279069767;0,170542636;0;2;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49272;2500054720;9;2500054744;10;1585;1;1,8;1,1;0;12,9;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49271;2500054720;8;2500054744;9;262;1;3,627906977;2,217054264;0;26;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49270;2500054720;7;2500054744;8;1268;1;2,093023256;1,279069767;0;15;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49269;2500054720;6;2500054744;7;1466;1;2,511627907;1,534883721;0;18;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49268;2500054720;5;2500054744;6;1468;1;1,674418605;1,023255814;0;12;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49267;2500054720;4;2500054744;5;376;1;3,627906977;2,217054264;0;26;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49266;2500054720;3;2500054744;4;208;1;1,395348837;0,852713178;0;10;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49265;2500054720;2;2500054744;3;2299;1;3,069767442;1,875968992;0;22;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49264;2500054720;1;2500054744;2;1731;1;1,534883721;0,937984496;0;11;NULL;13/07/2025 13:04;MESERO;13/07/2025 0:00
49263;2500054674;4;2500054683;5;1468;1;1,674418605;1,023255814;0;12;NULL;12/07/2025 22:09;MESERO;12/07/2025 0:00
49262;2500054674;3;2500054683;4;1268;1;2,093023256;1,279069767;0;15;NULL;12/07/2025 22:09;MESERO;12/07/2025 0:00
49261;2500054674;2;2500054683;3;262;1;3,627906977;2,217054264;0;26;NULL;12/07/2025 22:09;MESERO;12/07/2025 0:00
49260;2500054674;1;2500054683;2;1466;1;2,511627907;1,534883721;0;18;NULL;12/07/2025 22:09;MESERO;12/07/2025 0:00
