tCodigoProducto;tGrupo;tSubGrupo;tTipoProducto;tDetallado;tResumido;tMoneda;lImpuesto1;lImpuesto2;lImpuesto3;lImpuesto4;lImpuesto5;lImpuesto6;lImpuesto7;lImpuesto8;lImpuesto9;lImpuesto10;lImpuesto11;lImpuesto12;lImpuesto13;lImpuesto14;lImpuesto15;tDescargo;nPrecioVenta;nPrecioDelivery;nPrecioLlevar;nPrecioCanal4;nPrecioCanal5;tCortesia;lModificable;tArea;lImprimeArea;lEspecial;lFijo;lActivo;lCombinacion;nCombinacion;nBoton;tIcono;oFoto;tUsuario;fRegistro;tEnlace;tCajaRapida;nBotonRapido;nInsumo;nInsumo2;nInsumo3;nInsumo4;nInsumo5;nGasto;nGasto2;nGasto3;nGasto4;nGasto5;nManoObra;nManoObra2;nManoObra3;nManoObra4;nManoObra5;tBarra;lPropiedad;tInfhotel;lDescuento;lLocal;lDelivery;lLlevar;lCanal4;lCanal5;tBotonPalm;tUnidadNegocio;lReplica;lMultiArea;tAlternativa;lControlInsumoCritico;tCodigoInsumo;nTiempo;lBalanza;lSolicitaAutorizacionEnvio;lDefineAreaProduccion;tCodigoProductoSunat;nPrecioVentaRefer;nCombinacionMinima;lNuevoModificado;tCodigoSKU;lLey1;lActivaHomologacionExterno;SURLIMAGE;lActivaPatioComida;tDescripcionPatio;tStockPlatoCritico;tAplicaExoneracion;tAplicaInafectacion;tNombrePatio;lComboVisible;IntegracionWebApi
1;1;114;1;Bola de Oro Clasico 12P;Bola de Oro Clasico 12P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;100;100;100;100;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;19/05/2025 18:14; ;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010117;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;1;0;0;;0;0;1;;0;0;;0;;0;0;0;Bola de Oro Clasico 12P;0;0
2;1;101;1;Cheesecake de Fresa 12 P;Cheesecake de Fresa 12 P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;90;90;90;90;0;NULL;0;2;1;NULL;NULL;0;0;0;1;NULL;NULL;ADMIN;02/09/2021 8:19;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010165;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;1;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
3;17;1701;1;cheesecake de maracuya 12pzs;cheesecake maracuya 12ps;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;109;109;109;109;109;NULL;0;5;1;NULL;NULL;1;0;0;0;NULL;NULL;ADMIN;26/12/2024 23:33;177;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2040006;0;;1;1;1;1;1;1;NULL;1;1;0;;0;;2;1;0;0;;0;0;1;;0;0;http://192.168.2.205/ApiTotem/productos/0000003.jpg;0;;0;0;0;cheesecake de maracuya 12pzs;0;1
4;17;1701;1;Cheesecake de Marimango 12P;Cheesecake Marimango 12P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;90;90;90;90;0;NULL;0;2;1;NULL;NULL;0;0;0;10;NULL;NULL;ADMIN;02/08/2019 22:12;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3011026;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0;NULL;NULL;NULL;NULL;NULL;NULL;0
5;1;101;1;Cheesecake de Sauco 12P;Cheesecake de Sauco 12P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;90;90;90;90;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;01/10/2019 17:58;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010121;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0;NULL;NULL;NULL;NULL;NULL;NULL;0
6;17;1701;1;crocante de manzana 12pzs;crocante manzana 12pzs;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;N;95;95;95;95;95;NULL;0;2;1;NULL;NULL;1;0;0;1;NULL;NULL;ADMIN;01/07/2025 22:41; ;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2050002;0;;1;1;1;1;1;1;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;http://192.168.2.205/ApiTotem/productos/0000006.jpg;0;;0;0;0;Crocante de Manzana 12P;0;1
7;17;1701;1;Delicia de Vainilla con Fresa 12 P;Deli Vaini con Fresa 12 ;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;70;70;70;70;0;NULL;0;2;1;NULL;NULL;0;0;0;11;NULL;NULL;ADMIN;02/09/2021 8:20;105;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2060053;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;1;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
8;17;1701;1;dulzura de pecana 12pzs;dulzura de pecana 12pzs;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;99;99;99;102;0;NULL;0;5;1;NULL;NULL;0;0;0;3;NULL;NULL;ADMIN;13/10/2022 7:01;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V1000148;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;4;1;0;0;;0;0;1;;0;0;;0;;0;0;0;dulzura de pecana 12pzs;NULL;0
9;1;105;1;Pecado de Lucuma 12P;Pecado de Lucuma 12P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;85;85;0;0;0;NULL;0;2;1;NULL;NULL;0;0;0;1;NULL;NULL;ADMIN;02/09/2021 8:20;114;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010127;0;;1;1;1;0;0;0;NULL;1;1;0;;0;;0;1;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
10;17;1701;1;Pie de Limón 12P;Pie de Limón 12P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;85;0;0;0;85;NULL;0;2;1;NULL;NULL;0;0;0;2;NULL;NULL;ADMIN;02/04/2025 14:21; ;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M9110022;0;;1;0;0;0;0;1;NULL;2;1;0;;0;;0;1;0;0;;0;0;1;;0;0;;0;;0;0;0;Pie de Limón 12P;0;0
